R7179,R9641
R12606,R8417
R13633,R17528
R8918,R9889
R10401,R12672
R12573,R7381
R10868,R11763
R11226,R5450
R2962,R3972
R2681,R9991
R15470,R8621
R10230,R12885
R10379,R5969
R13058,R16462
R1977,R45
R14304,R8062
R11077,R2425
R6003,R6944
R4858,R8221
R11034,R12815
R3827,R5185
R7559,R9559
R14865,R16677
R4484,R5944
R13027,R13832
R2286,R4770
R13876,R7451
R15095,R15815
R14213,R9911
R4869,R7206
R4082,R5018
R1949,R3962
R12314,R16034
R11744,R7426
R1286,R2758
R11489,R12844
R10557,R12782
R1490,R3973
R13946,R15076
R2732,R801
R1197,R6074
R1801,R4719
R194,R4518
R3946,R9252
R113,R3889
R2050,R3049
R14094,R15615
R106,R1952
R3711,R5073
R3934,R8305
R5316,R6277
R2533,R5468
R12239,R14251
R12343,R3850
R11269,R12122
R14867,R14882
R10879,R7487
R11210,R14151
R12109,R14932
R13426,R14588
R13895,R14652
R14435,R14835
R14969,R9883
R7471,R7999
R1912,R3914
R17040,R17351
R12656,R8466
R10139,R8868
R6868,R9312
R13620,R9405
R5253,R893
R14428,R15179
R13523,R14640
R11312,R12214
R11028,R8160
R2924,R3975
R3393,R5294
R11849,R7565
R14088,R9661
R12356,R13170
R2739,R5641
R8397,R9404
R11520,R9739
R2620,R6949
R4074,R6439
R13112,R9008
R16837,R17456
R11300,R6490
R4169,R9014
R2653,R3183
R7404,R8395
R1265,R3227
R13541,R15423
R14729,R17212
R10739,R6833
R5371,R6275
R12088,R9350
R14185,R14965
R13994,R16915
R4182,R5568
R5192,R5714
R8506,R9500
R14738,R15881
R5188,R833
R7219,R9241
R12585,R6008
R11445,R5724
R6259,R8239
R7379,R9823
R9289,R960
R5631,R9067
R11332,R6999
R4761,R9103
R10499,R9068
R3321,R4307
R12218,R6965
R11801,R6997
R12017,R9681
R1323,R6929
R11832,R16187
R4172,R8608
R3893,R5865
R3094,R75
R5142,R8542
R1370,R2355
R10649,R3924
R10111,R6172
R10771,R3553
R13311,R15617
R3950,R6234
R1731,R3237
R12921,R9799
R1489,R2899
R5087,R9522
R11179,R3530
R11674,R12954
R11493,R16327
R13202,R7135
R5444,R7388
R5217,R6616
R10856,R8465
R2870,R3354
R11183,R4468
R74,R8774
R3960,R5297
R12819,R8050
R13485,R7461
R16547,R16982
R12134,R15310
R12235,R15399
R12713,R14247
R13431,R15724
R1022,R2406
R2049,R605
R11210,R17359
R7538,R8539
R11572,R9738
R7845,R8362
R3626,R5008
R11519,R4840
R6838,R9814
R14236,R16114
R3361,R4866
R14576,R9896
R10887,R5120
R2411,R3434
R11338,R7486
R3980,R7729
R6667,R7602
R12740,R7556
R12452,R9254
R11959,R5877
R10914,R4183
R4126,R9468
R1921,R3967
R12217,R13473
R13476,R15007
R1937,R8735
R1903,R4350
R11367,R13540
R11848,R9560
R15643,R16683
R1014,R6808
R1739,R5144
R2771,R7579
R14429,R17278
R1019,R4855
R10670,R8248
R15324,R16750
R5315,R8674
R16743,R17079
R10963,R6190
R12092,R9375
R5142,R7053
R1808,R5710
R11322,R9488
R5935,R7076
R11173,R12938
R16281,R17299
R14123,R15976
R10710,R2919
R1504,R4843
R5057,R6039
R5923,R8362
R3654,R4117
R11322,R7505
R8157,R9644
R4815,R9285
R5785,R8219
R13961,R15851
R13416,R6015
R10100,R4771
R15688,R16444
R11630,R12529
R14666,R16137
R1801,R882
R4683,R5646
R2945,R4898
R1225,R2170
R2352,R4735
R11510,R12422
R13824,R17073
R12514,R6366
R12076,R7346
R13402,R8937
R1419,R5277
R10300,R8392
R10841,R8921
R1225,R5081
R3518,R5385
R11709,R17070
R487,R8263
R14928,R16039
R3327,R423
R3058,R4047
R2809,R4259
R11243,R16059
R14337,R16916
R11319,R15743
R16625,R17281
R11133,R8680
R2678,R8021
R3666,R5561
R10977,R11887
R11050,R9762
R8725,R9789
R10300,R9857
R2584,R8423
R11135,R15610
R15010,R16795
R1529,R5393
R1071,R2513
R12368,R9614
R4093,R6929
R10364,R7448
R11755,R12649
R11235,R6937
R3804,R5704
R2715,R6098
R11388,R15083
R1788,R3837
R1021,R2906
R13186,R14342
R2554,R5943
R3928,R523
R4008,R6367
R13596,R9151
R10264,R4015
R1397,R3338
R12468,R8217
R10079,R11854
R11093,R14425
R12419,R8212
R2223,R7041
R5945,R8840
R1302,R5660
R7223,R8207
R10405,R11302
R8209,R9738
R3490,R6351
R13901,R16809
R12149,R9431
R12719,R14296
R10367,R6002
R10291,R6858
R2825,R4747
R3702,R6079
R2716,R5614
R4069,R5025
R11595,R13320
R4933,R6369
R10395,R12184
R13603,R5231
R4840,R5812
R13272,R14038
R13281,R9760
R10648,R16964
R7909,R9421
R2107,R7444
R1095,R5434
R14148,R16397
R12526,R15629
R7121,R9576
R4317,R8
R16585,R16921
R4383,R544
R3015,R8337
R1200,R3686
R15084,R15807
R7115,R7646
R12258,R6999
R10381,R14181
R2350,R7474
R6924,R7899
R13794,R14909
R5388,R8333
R4415,R9732
R10631,R5807
R10926,R9036
R6008,R9895
R10876,R9513
R11490,R12403
R2098,R3089
R1428,R5325
R12468,R14805
R2209,R5093
R1325,R6648
R16717,R17349
R5325,R9697
R15876,R9632
R15557,R9184
R10438,R11340
R12910,R15617
R13429,R8435
R11421,R13998
R10714,R8801
R13419,R15342
R13929,R9043
R14396,R16275
R5042,R6442
R10188,R6322
R11319,R13059
R1348,R7616
R3505,R8796
R11627,R13732
R5682,R6194
R5673,R8117
R5368,R9269
R11617,R14110
R3414,R5272
R14427,R15908
R10173,R5785
R16233,R17204
R7830,R9794
R5912,R6832
R5676,R7170
R2334,R7410
R1090,R4023
R12275,R13124
R14090,R15950
R14402,R16273
R10040,R11034
R10150,R17307
R11072,R12883
R3386,R6722
R4561,R8398
R6250,R8234
R2882,R36
R14978,R8915
R6220,R7179
R7564,R7565
R4693,R8061
R13346,R15997
R12931,R8793
R6189,R8586
R14430,R17478
R3980,R9202
R13723,R16662
R1476,R2936
R4469,R9323
R11939,R4828
R5852,R6816
R10840,R6428
R6537,R7499
R1957,R3408
R12795,R13604
R10765,R7338
R11312,R13863
R10744,R12523
R327,R7567
R14793,R16635
R8706,R9282
R8316,R9790
R6827,R9689
R19,R4787
R14669,R15023
R11125,R15949
R11612,R8803
R11836,R12741
R11237,R7892
R11014,R6170
R12393,R13629
R3492,R6853
R2866,R6213
R14942,R15348
R11204,R7839
R8611,R9779
R2778,R5723
R56,R6755
R12965,R14163
R6278,R6818
R3856,R888
R12230,R15049
R12267,R9539
R14040,R16626
R10286,R8327
R6232,R9757
R11298,R16071
R6495,R7960
R14952,R16404
R13773,R15294
R1186,R5061
R3430,R7712
R14028,R9169
R1828,R2816
R13767,R4482
R11270,R13456
R15333,R16071
R5439,R8392
R13917,R17127
R2727,R6112
R15892,R8662
R10172,R3399
R4689,R7082
R7145,R7638
R11505,R6294
R11424,R6605
R11736,R16405
R3320,R4716
R10515,R7095
R15155,R16590
R10290,R4938
R1007,R1990
R14434,R9747
R5350,R995
R15665,R17351
R4548,R681
R2426,R470
R16265,R16932
R15485,R16237
R10711,R16372
R13543,R15803
R11075,R7199
R4750,R7141
R15598,R17318
R1060,R4005
R10717,R11164
R7115,R8628
R2175,R6048
R6646,R8084
R10965,R1193
R12176,R17576
R11094,R12407
R7733,R9743
R12376,R13155
R13777,R15272
R5486,R9888
R8450,R9878
R1177,R8463
R12561,R13778
R11698,R12140
R11935,R7294
R16778,R16788
R12624,R13850
R7104,R7658
R1470,R4876
R1712,R9478
R1039,R2013
R16404,R17081
R5819,R6719
R2521,R8355
R1803,R2846
R16406,R17078
R3792,R6147
R3857,R8117
R11768,R13504
R8954,R9962
R12861,R9781
R13926,R15795
R2520,R6851
R5493,R6936
R14364,R17176
R3593,R642
R11248,R8315
R10248,R12902
R13137,R7569
R7504,R8494
R13262,R8303
R4819,R930
R6876,R7855
R2862,R895
R3767,R5660
R11414,R7160
R2524,R6351
R1632,R4096
R12737,R13548
R7488,R9986
R2434,R8705
R10092,R10581
R4887,R8759
R5073,R5583
R4957,R7871
R1428,R3386
R2743,R3250
R6727,R8783
R12064,R12948
R3129,R4098
R12268,R2929
R15963,R16999
R10319,R7850
R10591,R9640
R3227,R5598
R12761,R13607
R11616,R12526
R1480,R2436
R4810,R6317
R13659,R8718
R8874,R9669
R1529,R2515
R1399,R2377
R5957,R7449
R11653,R6391
R13262,R14052
R13351,R6866
R10415,R6965
R447,R4859
R12373,R8634
R13914,R14629
R10385,R12170
R6669,R7634
R10697,R6717
R2132,R3127
R4369,R60
R12082,R14129
R11937,R6727
R6697,R7679
R15119,R16911
R11858,R5193
R10518,R11839
R6878,R7384
R13465,R15697
R6029,R9961
R10586,R12356
R5027,R8395
R10645,R14038
R10074,R7463
R16756,R17576
R2727,R3739
R2959,R3948
R4356,R4894
R3662,R7514
R2603,R640
R4029,R9854
R12273,R14680
R13499,R17138
R2929,R8032
R15241,R16353
R3974,R6334
R523,R8721
R12294,R8063
R3078,R8889
R11058,R8260
R12345,R13592
R7370,R8384
R1316,R1792
R2438,R7284
R11826,R15067
R5830,R8766
R13836,R14969
R6255,R8264
R13162,R16214
R5037,R7888
R15296,R15658
R6267,R8573
R13227,R8214
R7437,R9905
R3601,R5500
R11582,R14472
R12871,R6232
R5715,R9605
R11776,R5092
R13021,R14987
R6252,R9709
R11052,R9764
R11262,R14172
R10939,R11394
R7434,R7940
R10496,R11384
R12014,R17270
R3637,R8358
R12839,R7293
R11029,R9156
R3284,R7133
R5943,R9854
R15235,R17029
R10914,R12679
R1399,R5256
R11906,R12959
R13446,R15348
R6800,R9692
R14646,R16121
R11957,R8691
R4405,R9243
R14627,R16795
R2764,R5168
R3537,R4972
R12253,R8024
R12572,R14521
R3154,R4155
R14417,R17274
R3950,R520
R16045,R16445
R10402,R9464
R10142,R11917
R4975,R5947
R2550,R6399
R11081,R9216
R15025,R17450
R6589,R9061
R11414,R3835
R12875,R15946
R1529,R6847
R13073,R17138
R1449,R70
R6827,R8729
R2934,R7715
R15678,R17353
R10049,R7565
R11045,R13661
R3492,R5904
R14402,R15522
R4049,R8853
R15665,R17040
R15060,R9531
R11548,R2493
R13287,R14094
R10519,R9560
R10425,R9446
R13736,R15249
R1702,R5105
R13407,R15717
R11613,R12946
R7402,R8894
R6292,R7804
R11835,R13137
R16357,R17321
R11565,R9192
R2319,R5232
R3554,R7854
R11970,R14425
R12755,R9542
R12375,R8115
R10074,R9109
R10433,R6523
R12928,R14889
R11514,R12443
R10632,R983
R16725,R9853
R15449,R16534
R10256,R6231
R1037,R1048
R6430,R7407
R12942,R14868
R13317,R5329
R11749,R14615
R6998,R9017
R13554,R16868
R5454,R7173
R7350,R9334
R6923,R8419
R13479,R9456
R15595,R17277
R10011,R11335
R1314,R2310
R10428,R7026
R2086,R2610
R3661,R6063
R10273,R9794
R10643,R13238
R5859,R8272
R13304,R15610
R3395,R7689
R13229,R5750
R3422,R8266
R5319,R6777
R11552,R7775
R10397,R8924
R11278,R5499
R12185,R13416
R7556,R9548
R2609,R3624
R6304,R8240
R13981,R16577
R10385,R7954
R10046,R8561
R2981,R5350
R1167,R5476
R13934,R14674
R15096,R15448
R4667,R5312
R14791,R9785
R10724,R4936
R5541,R7967
R5518,R7928
R6824,R7753
R5081,R7529
R12069,R14888
R12198,R16442
R5439,R6413
R4141,R6551
R16744,R17379
R1426,R3388
R3283,R3284
R1526,R2506
R10755,R9360
R10583,R12354
R12389,R13546
R10963,R9623
R2711,R336
R7403,R9419
R12649,R14227
R4255,R4632
R12003,R7771
R2524,R8797
R4368,R9771
R13919,R16124
R13920,R14269
R3098,R5025
R13460,R9893
R5786,R8252
R10228,R17303
R7605,R9099
R14028,R16275
R15120,R16889
R13606,R14367
R10010,R12251
R11784,R13520
R14201,R16767
R10794,R7942
R324,R3751
R4512,R9393
R15560,R15944
R3481,R6343
R1401,R8164
R11361,R13503
R12541,R14478
R7843,R8854
R5179,R7101
R11114,R11957
R7464,R8968
R2302,R5701
R15055,R8024
R5574,R6544
R8534,R9919
R2350,R6082
R14183,R16448
R10462,R13496
R13938,R15073
R1824,R7148
R10733,R7333
R6959,R9401
R4879,R6230
R1951,R8774
R1652,R2634
R12832,R15190
R10544,R14349
R10995,R13579
R1351,R5671
R1414,R485
R10121,R10590
R2445,R5770
R12815,R8052
R10523,R14699
R11207,R13387
R3977,R6780
R10548,R9116
R3281,R3284
R10955,R14736
R15046,R17134
R12201,R16795
R11710,R7944
R10128,R11032
R3984,R7273
R10949,R9546
R11598,R7222
R3646,R6956
R11053,R13666
R12000,R16293
R3401,R60
R3987,R4468
R12383,R9652
R12037,R14467
R13887,R8523
R9393,R9907
R11228,R12194
R12537,R8810
R6001,R7435
R10022,R10932
R6623,R9579
R14068,R14808
R15665,R16030
R13328,R5398
R14694,R16876
R2,R3345
R1895,R5378
R1996,R3887
R14002,R15489
R13767,R4032
R12554,R3559
R5590,R7514
R1866,R7677
R14767,R15891
R14033,R16296
R6193,R7591
R10672,R5352
R4410,R8688
R12802,R9636
R10188,R5795
R14885,R17332
R15863,R17502
R38,R6250
R13357,R7843
R13042,R16746
R16727,R17346
R3955,R8694
R12811,R14024
R11884,R9634
R12324,R14342
R13917,R15378
R10749,R5921
R15368,R15749
R11802,R7999
R1669,R3654
R11731,R17093
R12541,R13730
R11028,R2360
R16347,R17315
R15871,R16566
R11666,R12563
R4984,R8428
R10143,R5259
R13073,R13499
R1072,R4474
R15933,R8790
R12905,R15609
R4194,R8539
R12063,R7823
R1660,R3139
R11173,R6371
R4692,R5655
R13158,R7143
R5410,R565
R14195,R17088
R11628,R14491
R16534,R9073
R11400,R11829
R2476,R5762
R11080,R7292
R11007,R7646
R1052,R3026
R3813,R6153
R11134,R15224
R10600,R11468
R10483,R13126
R2511,R9295
R10714,R11621
R12478,R13622
R44,R6824
R3948,R9240
R11054,R14395
R5817,R8748
R7702,R9195
R15874,R17606
R12226,R12660
R10767,R16036
R10689,R7701
R5601,R9047
R15240,R5429
R6544,R9512
R2103,R8418
R13592,R15101
R10320,R12107
R1810,R7620
R15118,R16214
R2873,R3868
R2035,R3518
R15794,R7526
R3991,R7814
R10605,R11987
R14619,R16780
R6165,R9095
R5154,R8562
R11334,R5547
R11499,R12480
R14432,R15573
R10569,R14720
R11114,R9263
R12745,R16868
R10661,R6314
R2507,R8798
R10520,R13132
R1793,R2813
R13541,R17148
R14717,R15482
R6819,R9760
R7381,R8831
R11195,R12968
R2996,R4000
R10173,R4429
R5958,R9389
R13177,R13971
R383,R4261
R6590,R8555
R12758,R13133
R14301,R16176
R2998,R4456
R11527,R4877
R12134,R17383
R16123,R16816
R10006,R10903
R12402,R15547
R1836,R5696
R14092,R15096
R2352,R3802
R2397,R90
R14356,R15483
R15651,R16393
R3562,R7357
R15172,R15887
R13337,R3532
R13782,R16389
R6360,R8327
R13797,R8870
R12933,R15973
R2796,R863
R1755,R3753
R4756,R6146
R4011,R5417
R4204,R6112
R6519,R7512
R2758,R7086
R11834,R13151
R2931,R6714
R11875,R8129
R14430,R15829
R2257,R3251
R12301,R13131
R11340,R7007
R1251,R2182
R12312,R13566
R10105,R7149
R4721,R5203
R2565,R7407
R14520,R15267
R12042,R6335
R14226,R14999
R7220,R89
R5581,R8988
R15615,R17547
R2499,R3521
R2499,R7341
R2971,R5314
R1635,R354
R15329,R9428
R10347,R13840
R13966,R15149
R12934,R14499
R11790,R13491
R2374,R2861
R10508,R12174
R3123,R4535
R16213,R8584
R12997,R15714
R4781,R7181
R4133,R738
R11754,R15538
R2726,R4209
R12101,R8374
R11053,R13667
R2487,R3409
R5830,R7735
R11248,R9223
R1951,R5815
R10297,R14138
R8228,R8728
R10877,R13114
R2870,R8161
R7627,R9151
R15278,R16038
R14960,R17063
R12264,R7502
R14306,R16868
R11289,R7425
R12165,R9880
R11549,R14451
R11656,R14918
R6381,R8372
R4364,R5315
R15821,R16514
R6418,R7950
R10047,R8579
R10345,R5968
R3076,R6911
R7641,R8619
R11120,R14797
R13742,R15977
R2870,R5248
R12037,R15222
R12209,R7458
R1931,R8224
R11235,R7943
R1074,R6344
R1278,R4394
R4666,R6612
R10533,R13582
R5491,R7953
R4614,R7473
R3722,R3723
R2223,R9046
R10318,R5467
R4572,R6028
R7202,R9711
R13610,R15502
R7539,R9534
R11528,R6306
R6770,R8202
R7273,R8222
R6159,R7142
R4363,R487
R13504,R15395
R15260,R17024
R4497,R7369
R1403,R2465
R1562,R3572
R10973,R7636
R7212,R7793
R10539,R4251
R11043,R12833
R5728,R7115
R10687,R13708
R3176,R6079
R1931,R5334
R13664,R16951
R2722,R571
R2140,R6974
R2502,R6857
R12301,R7570
R1575,R2544
R3577,R5967
R16993,R17306
R10964,R8147
R12346,R14003
R10350,R8921
R1405,R944
R4048,R7373
R4255,R7003
R17347,R8792
R10923,R9041
R16565,R17121
R1822,R8606
R11644,R9842
R13337,R5414
R12386,R14394
R10363,R9893
R2716,R8043
R3489,R589
R12124,R14188
R6107,R7536
R3014,R4449
R16081,R16756
R141,R3484
R260,R3656
R2111,R5964
R11910,R5935
R7942,R9884
R14184,R16443
R10439,R14634
R5020,R6955
R3627,R4522
R4861,R9291
R12482,R16680
R16501,R17143
R16419,R9390
R12022,R13303
R7775,R9728
R10371,R11256
R4407,R5376
R7850,R8383
R2146,R3652
R1266,R8035
R10269,R7837
R12512,R13326
R1405,R3975
R10841,R11688
R5104,R5580
R8050,R9064
R11351,R7976
R6717,R9246
R10429,R11781
R11896,R7659
R4666,R5648
R16422,R17398
R12437,R15593
R1384,R2359
R10127,R5718
R3925,R7199
R1154,R2601
R13260,R14833
R15210,R9749
R13767,R8392
R10046,R6126
R4282,R885
R11749,R13880
R10224,R14416
R10016,R9045
R12274,R13119
R7628,R9116
R13991,R16914
R10400,R14229
R4298,R5230
R2180,R2660
R13328,R2356
R12525,R14487
R10005,R8988
R1163,R3081
R14343,R15480
R10169,R8224
R13105,R17124
R13140,R15451
R3068,R4504
R15713,R16431
R13671,R14405
R1807,R370
R12207,R12658
R12805,R6644
R11643,R13779
R3053,R617
R5484,R5988
R12171,R8724
R3485,R5427
R14952,R17081
R6994,R9984
R11736,R15683
R2747,R5157
R6174,R7169
R11110,R14817
R1829,R3292
R1333,R3809
R11620,R4460
R15360,R16102
R13993,R17209
R10030,R10506
R15039,R9524
R3658,R4572
R3755,R8069
R14036,R17275
R2619,R8425
R14454,R8236
R13569,R16188
R10378,R8393
R4276,R6180
R2394,R4866
R12666,R15012
R3440,R449
R13185,R14373
R2251,R3241
R10821,R16061
R11521,R15936
R8270,R9769
R10617,R14061
R8381,R9854
R4535,R5035
R10875,R15048
R3169,R6071
R1569,R4954
R13187,R13988
R13862,R15360
R12025,R16942
R11254,R13048
R5896,R6830
R16923,R17499
R4721,R6160
R11881,R15876
R6030,R7956
R8273,R9253
R222,R3122
R10813,R9888
R14454,R15547
R5817,R7238
R10217,R3374
R4703,R9555
R5085,R7989
R1442,R3446
R12764,R14357
R14428,R8260
R15303,R17078
R1290,R9063
R13574,R6512
R1291,R3255
R10750,R11647
R3467,R982
R13600,R16214
R7540,R9537
R14401,R16589
R10158,R8197
R10935,R12743
R14419,R15389
R11448,R14353
R4024,R4958
R10161,R6253
R3262,R5653
R11073,R8713
R2502,R3494
R10448,R11339
R6003,R8869
R12843,R14405
R10614,R7736
R2004,R6094
R7104,R8607
R10644,R8699
R1876,R7751
R11509,R15938
R11828,R15462
R11081,R8241
R3607,R6036
R1706,R294
R4542,R9442
R16373,R17349
R5571,R6995
R12658,R8951
R5325,R8301
R4646,R9050
R13779,R14512
R2990,R5868
R2775,R881
R14417,R15938
R6851,R7821
R15227,R16681
R12866,R7223
R11429,R15147
R12583,R2719
R14178,R14988
R10154,R13696
R5371,R6819
R13620,R2719
R13822,R6454
R5449,R7861
R1769,R3750
R11028,R9155
R2742,R6718
R10163,R7747
R4585,R6535
R5911,R6851
R10848,R7960
R14691,R7069
R12004,R9225
R11619,R9306
R11555,R9722
R3152,R5530
R3043,R4971
R4682,R7071
R12085,R13370
R10165,R8785
R14202,R9876
R3600,R4550
R10498,R11402
R10438,R8003
R11097,R2934
R14705,R17175
R10182,R6249
R14296,R17456
R10701,R13303
R14398,R14777
R13725,R15448
R8421,R8940
R8810,R9801
R3387,R7708
R15290,R16388
R12732,R9245
R12165,R17061
R12871,R7694
R12581,R9911
R11603,R9327
R13322,R17337
R4355,R5342
R14259,R7521
R15454,R15692
R11144,R8775
R8344,R8805
R7389,R9333
R11064,R8738
R3650,R5053
R5965,R6929
R14842,R16957
R12343,R8641
R13034,R8901
R5995,R641
R3129,R5492
R10998,R12783
R2290,R6176
R10355,R10824
R11199,R12567
R12625,R14573
R3400,R7243
R10861,R16466
R14384,R15894
R6780,R9731
R7048,R8551
R16858,R17167
R5160,R7569
R2598,R5959
R16101,R17412
R4003,R6857
R15032,R17426
R13648,R8162
R13505,R15377
R2152,R694
R3001,R4924
R11552,R12477
R13332,R5429
R4646,R6558
R14102,R8199
R1468,R7070
R3178,R7015
R13988,R16580
R2507,R7808
R5993,R6932
R15985,R5092
R3496,R5428
R4100,R5516
R1349,R4767
R3931,R99
R10046,R3777
R11730,R16091
R2152,R5052
R1693,R733
R10411,R5535
R15532,R15884
R1599,R637
R1061,R5907
R2497,R624
R15110,R17507
R13891,R14662
R2135,R3097
R11593,R12499
R14347,R15116
R12799,R14333
R2751,R4701
R1729,R318
R6955,R9937
R10244,R6316
R10117,R9577
R11299,R16102
R12957,R9859
R10110,R6618
R11763,R14238
R1288,R2756
R4449,R5898
R6587,R8062
R6318,R9658
R14633,R16830
R10391,R14936
R13801,R14204
R3414,R7273
R9647,R9648
R14475,R15613
R12281,R15067
R10453,R725
R14217,R15354
R10256,R12480
R15789,R16136
R16198,R17483
R2070,R5436
R11057,R9713
R16986,R17544
R2381,R3447
R3904,R946
R10268,R8352
R3811,R861
R7265,R8237
R11225,R11670
R4623,R5586
R10302,R8843
R12371,R8095
R10332,R5727
R10684,R12441
R10888,R3704
R4578,R6032
R15949,R16337
R5675,R7606
R7346,R9344
R8566,R9544
R7899,R8432
R4429,R7282
R1246,R9974
R1480,R7738
R3509,R9295
R16740,R17572
R1131,R4547
R7724,R9192
R11965,R4422
R15785,R17130
R11375,R11819
R11389,R15080
R10235,R5875
R10215,R12495
R6594,R7090
R1151,R218
R5172,R8066
R10352,R11278
R1975,R8235
R11653,R5463
R1113,R4061
R10479,R11366
R10559,R5719
R11224,R5941
R3135,R6033
R6258,R6259
R6537,R9489
R10489,R11374
R1162,R3623
R3060,R5466
R1999,R5275
R14848,R9673
R12301,R14309
R10586,R13974
R7289,R9709
R13156,R15510
R6328,R9244
R12029,R12904
R15266,R17025
R4385,R952
R3403,R76
R11585,R15961
R13799,R15726
R11213,R12576
R10047,R6117
R11532,R15915
R13467,R13871
R10188,R9733
R6093,R7051
R7279,R9277
R13372,R7887
R11748,R9945
R10084,R11413
R4328,R9162
R12402,R8790
R3803,R6201
R3663,R4161
R13301,R13661
R11156,R15968
R16678,R17320
R1730,R3723
R10837,R13849
R3076,R9894
R12601,R5018
R6435,R9862
R13142,R15447
R12439,R13663
R7743,R8226
R10342,R8435
R14524,R17366
R10156,R15195
R14062,R15196
R13911,R16479
R14656,R4255
R5147,R7081
R12158,R6437
R12258,R5579
R6830,R7327
R12298,R7553
R10988,R9612
R2511,R4013
R12768,R16246
R13990,R9614
R5850,R7715
R3922,R7234
R10382,R6474
R7258,R9216
R10902,R11782
R5396,R6341
R6490,R9942
R10663,R5787
R15310,R16439
R13977,R7105
R17039,R17558
R15177,R17540
R5550,R7492
R11111,R12014
R11452,R16230
R6218,R8166
R12444,R6307
R7582,R9055
R10238,R9664
R10536,R12361
R11260,R13015
R11432,R14739
R13763,R14892
R8969,R9947
R10542,R11426
R4239,R6583
R14470,R16678
R15337,R16424
R12404,R14070
R16167,R16843
R11075,R9268
R10568,R13977
R6355,R7331
R10585,R13593
R4316,R5255
R11461,R14373
R11768,R17586
R2372,R7172
R3877,R6298
R10606,R12829
R4387,R6759
R11161,R12922
R10797,R9937
R12130,R9871
R10453,R6516
R12542,R15977
R1316,R839
R12539,R8320
R1073,R5391
R3413,R4363
R6419,R8434
R104,R1881
R3917,R5628
R7238,R7779
R12902,R9699
R10046,R4700
R5873,R9763
R1767,R2739
